==================== Evaluating with noise_std = 1.7 in Dataset 1 with random state = 5 ====================
ODS is enabled
mse 2.823955770248749
Splitting data into training and validation set
Not whitening the data...
Set parameter TokenServer to value "license1.computecanada.ca"
Read parameters from file gurobi.env
Set parameter MIPGap to value 0.05
Set parameter TimeLimit to value 18000
using QPBO:
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "AlmaLinux 9.3 (Shamrock Pampas Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 32 physical cores, 32 logical processors, using up to 32 threads

Optimize a model with 72 rows, 216 columns and 216 nonzeros
Model fingerprint: 0x9f32eb83
Model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [4e-04, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1903.2351577
Presolve time: 0.08s
Presolved: 72 rows, 216 columns, 216 nonzeros
Presolved model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Found heuristic solution: objective 6230.1493349

Root relaxation: objective 1.026217e+04, 293 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 10262.1656    0  214 6230.14933 10262.1656  64.7%     -    0s
H    0     0                    7215.3146135 10262.1656  42.2%     -    0s
     0     0 10023.4180    0  196 7215.31461 10023.4180  38.9%     -    0s
     0     2 10023.4180    0  196 7215.31461 10023.4180  38.9%     -    0s
  3338  2916 9057.09829   16  192 7215.31461 9322.10263  29.2%   5.6    5s
 15822  9325     cutoff   37      7215.31461 8869.66614  22.9%   5.3   10s
 32302 20756 8541.25508   24  164 7215.31461 8707.10537  20.7%   5.2   15s
 50574 33673 7847.16018   35  159 7215.31461 8630.07722  19.6%   5.1   20s
 73692 48679 8166.93948   26  180 7215.31461 8570.31673  18.8%   5.1   25s
 95944 63150 8122.55148   31  148 7215.31461 8529.27458  18.2%   5.1   30s
 119067 77836 7528.46131   45  110 7215.31461 8494.74617  17.7%   5.1   35s
 142242 91822 7272.81895   42  142 7215.31461 8468.08399  17.4%   5.1   40s
 164335 106043 7476.29759   43  132 7215.31461 8446.32231  17.1%   5.0   45s
 187593 119540 7651.38232   30  162 7215.31461 8426.91695  16.8%   5.0   50s
 210348 133449 8079.02356   30  173 7215.31461 8409.79827  16.6%   5.0   55s
 226924 141310 7217.31625   44  130 7215.31461 8396.95837  16.4%   5.0   60s
 236996 149394 7449.69563   45  133 7215.31461 8390.36405  16.3%   5.0   65s
 240903 151448 7396.80575   47  140 7215.31461 8387.82705  16.3%   5.0  133s
 253192 158346 8026.67438   33  145 7215.31461 8380.74397  16.2%   5.0  135s
 276414 171307 8020.60468   33  158 7215.31461 8368.02080  16.0%   5.0  140s
 301927 184748 7221.48285   38  145 7215.31461 8355.10708  15.8%   5.0  145s
 322299 196744 8051.21612   31  157 7215.31461 8346.15504  15.7%   5.0  150s
 348888 212263 7346.57787   50  114 7215.31461 8333.18713  15.5%   5.0  155s
 352258 214352 7638.98423   36  143 7215.31461 8332.16337  15.5%   5.0  204s
 355551 216224 7352.36900   40  141 7215.31461 8330.18625  15.5%   5.0  205s
 377772 229377 7282.29624   42  111 7215.31461 8320.35013  15.3%   5.0  210s
 404578 243739 7596.64277   35  137 7215.31461 8310.19195  15.2%   5.0  215s
 427278 256626 7468.63813   44  139 7215.31461 8302.02921  15.1%   5.0  220s
 450789 269206 7989.71522   30  144 7215.31461 8293.59428  14.9%   4.9  225s
 471442 280298 8124.88879   31  149 7215.31461 8287.37378  14.9%   4.9  230s
 494803 293529 7485.57996   42  132 7215.31461 8280.24723  14.8%   4.9  235s
