==================== Evaluating with noise_std = 1.1 in Dataset 1 with random state = 6 ====================
ODS is enabled
mse 1.1954882531886288
Splitting data into training and validation set
Not whitening the data...
Set parameter TokenServer to value "license1.computecanada.ca"
Set parameter Threads to value 16
Read parameters from file gurobi.env
Set parameter MIPGap to value 0.05
Set parameter TimeLimit to value 18000
using QPBO:
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "AlmaLinux 9.3 (Shamrock Pampas Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 32 physical cores, 32 logical processors, using up to 16 threads

Optimize a model with 72 rows, 216 columns and 216 nonzeros
Model fingerprint: 0x215dbcee
Model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [1e-03, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1387.7999143
Presolve time: 0.06s
Presolved: 72 rows, 216 columns, 216 nonzeros
Presolved model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Found heuristic solution: objective 5089.6993927

Root relaxation: objective 8.976267e+03, 303 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8976.26747    0  213 5089.69939 8976.26747  76.4%     -    0s
H    0     0                    6317.2856056 8976.26747  42.1%     -    0s
     0     0 8807.27974    0  207 6317.28561 8807.27974  39.4%     -    0s
     0     2 8807.27974    0  207 6317.28561 8807.27974  39.4%     -    0s
 16497 10311 6995.23860   35  122 6317.28561 7804.98960  23.5%   5.7    5s
H37633 23408                    6355.9880087 7667.44551  20.6%   5.6    7s
 41619 26002 7510.21588   30  182 6355.98801 7645.95574  20.3%   5.6   10s
 67971 36189 6738.11275   46  128 6355.98801 7645.95574  20.3%   5.6   15s
 103988 46599 7222.57295   40  134 6355.98801 7557.35721  18.9%   5.5   20s
 142321 63962 7060.59060   42  145 6355.98801 7491.94332  17.9%   5.5   25s
 181563 86929 6676.08022   47  141 6355.98801 7446.61693  17.2%   5.4   30s
 220466 109893 7369.08884   42  171 6355.98801 7415.47941  16.7%   5.4   35s
 254158 129563 6587.76500   46  135 6355.98801 7392.22511  16.3%   5.4   40s
 293200 151685 6911.61779   46  159 6355.98801 7371.24818  16.0%   5.3   45s
 331600 173842 6676.32380   48  119 6355.98801 7353.76508  15.7%   5.3   50s
 372193 195446 6387.80073   58  130 6355.98801 7337.02771  15.4%   5.3   55s
 412040 216980 6801.53475   52  148 6355.98801 7322.22335  15.2%   5.3   60s
 450247 237378 7058.27686   41  151 6355.98801 7309.90025  15.0%   5.3   65s
 483172 256891 6654.23477   54  118 6355.98801 7299.98919  14.9%   5.3   70s
 523767 277565 6568.46097   51  143 6355.98801 7289.33678  14.7%   5.2   75s
 563491 298983 6564.96591   58  117 6355.98801 7279.34827  14.5%   5.2   80s
 601405 318517 6967.69523   42  139 6355.98801 7270.65250  14.4%   5.2   85s
 641226 339886 6636.40310   47  165 6355.98801 7262.24082  14.3%   5.2   90s
 674507 357681 6411.02896   61  125 6355.98801 7255.87177  14.2%   5.2   95s
 714867 379337 6649.99581   51  126 6355.98801 7248.28852  14.0%   5.2  100s
 756084 401677 6774.01609   53  139 6355.98801 7240.66290  13.9%   5.2  105s
 795018 421294 6548.62402   49  144 6355.98801 7234.43853  13.8%   5.2  110s
 834268 441149 6358.94966   49  157 6355.98801 7228.24460  13.7%   5.2  115s
 870954 460426 6601.05703   48  142 6355.98801 7222.20418  13.6%   5.1  120s
 906083 478317 6357.19320   51  136 6355.98801 7217.01372  13.5%   5.1  125s
 944972 497376 6436.08344   52  109 6355.98801 7211.67205  13.5%   5.1  130s
 984996 517993 6479.35890   55  125 6355.98801 7206.20902  13.4%   5.1  135s
 1025751 536844 6716.11198   50  148 6355.98801 7201.23539  13.3%   5.1  140s
 1063946 556087 6357.14184   54  147 6355.98801 7196.55897  13.2%   5.1  145s
 1102366 575609 7184.69049   44  151 6355.98801 7191.70260  13.1%   5.1  150s
 1135450 592439 6745.70201   45  144 6355.98801 7187.92716  13.1%   5.1  155s
 1174484 611579 6909.72611   44  153 6355.98801 7183.57775  13.0%   5.1  160s
 1215935 631930     cutoff   54      6355.98801 7179.15908  13.0%   5.1  165s
 1255541 650282 6541.80357   51  144 6355.98801 7175.16656  12.9%   5.1  170s
 1295845 669848     cutoff   52      6355.98801 7171.06775  12.8%   5.1  175s
 1333922 689092 6395.08050   48  141 6355.98801 7167.30075  12.8%   5.1  180s
 1369157 706239 6515.04870   53  131 6355.98801 7163.99751  12.7%   5.1  185s
 1408586 725007 6492.38161   48  154 6355.98801 7160.56364  12.7%   5.1  190s
 1448420 743629 6831.52453   40  149 6355.98801 7157.20439  12.6%   5.1  195s
 1487935 762567 6604.79843   54  147 6355.98801 7153.61100  12.5%   5.1  200s
 1529312 781475 6804.88509   49  166 6355.98801 7150.12598  12.5%   5.1  205s
 1569629 800845 6544.37273   53  140 6355.98801 7146.64184  12.4%   5.0  210s
 1603379 817070 6614.34393   55  126 6355.98801 7144.03955  12.4%   5.0  215s
 1641189 835101 6406.60727   52  142 6355.98801 7141.01278  12.4%   5.0  220s
 1681515 853594     cutoff   49      6355.98801 7137.96766  12.3%   5.0  225s
 1721031 872101     cutoff   60      6355.98801 7134.94314  12.3%   5.0  230s
 1760555 890933 6912.31564   53  144 6355.98801 7131.94242  12.2%   5.0  235s
 1797370 908779 6615.14674   59  137 6355.98801 7129.24715  12.2%   5.0  240s
 1836496 927708 6639.14260   52  139 6355.98801 7126.35221  12.1%   5.0  245s
 1878370 947379 6543.77811   48  155 6355.98801 7123.61503  12.1%   5.0  250s
 1917604 966226 6915.82031   47  138 6355.98801 7121.05175  12.0%   5.0  255s
 1958791 985753 6776.94862   53  141 6355.98801 7118.13321  12.0%   5.0  260s
 1998430 1002010     cutoff   56      6355.98801 7115.65354  12.0%   5.0  265s
 2032563 1018743 6828.00672   48  141 6355.98801 7113.44116  11.9%   5.0  270s
 2072485 1036989 6578.95399   49  157 6355.98801 7111.11937  11.9%   5.0  275s
 2114830 1056011 6807.30264   46  148 6355.98801 7108.46714  11.8%   5.0  280s
 2153161 1073194 6388.35415   52  129 6355.98801 7106.16294  11.8%   5.0  285s
 2192256 1091347 6877.26295   52  144 6355.98801 7103.80671  11.8%   5.0  290s
 2233998 1109106 6951.86741   43  149 6355.98801 7101.37610  11.7%   5.0  295s
 2268910 1125743 6358.96382   53  144 6355.98801 7099.54706  11.7%   5.0  300s
 2311012 1145533 6416.43779   52  128 6355.98801 7097.12140  11.7%   5.0  305s
 2350870 1164093 6525.03841   49  124 6355.98801 7094.90550  11.6%   5.0  310s
 2389499 1181774 6385.69325   51  141 6355.98801 7092.99726  11.6%   5.0  315s
 2428866 1199298 6522.67479   48  141 6355.98801 7091.05247  11.6%   5.0  320s
 2463747 1215202 6517.77979   58  108 6355.98801 7089.31464  11.5%   5.0  325s
 2504880 1233858 6684.55223   44  161 6355.98801 7087.08232  11.5%   5.0  330s
 2545973 1252627     cutoff   57      6355.98801 7084.99003  11.5%   5.0  335s
 2585009 1269815 6420.50555   52  132 6355.98801 7083.00818  11.4%   5.0  340s
 2624998 1287161 6386.38571   52  147 6355.98801 7081.13053  11.4%   5.0  345s
 2666315 1305430 6409.46944   54  139 6355.98801 7079.14767  11.4%   5.0  350s
 2700207 1321296 6441.12515   54  141 6355.98801 7077.43394  11.4%   5.0  355s
 2742075 1339915 6377.03889   58  100 6355.98801 7075.51091  11.3%   5.0  360s
 2784056 1358440 6375.67232   57  128 6355.98801 7073.48143  11.3%   5.0  365s
 2823657 1375541 6951.23658   48  156 6355.98801 7071.60695  11.3%   5.0  370s
 2865725 1392932 6519.85486   53  131 6355.98801 7069.71361  11.2%   5.0  375s
 2906485 1410845 6447.85718   58  119 6355.98801 7067.94561  11.2%   4.9  380s
 2940327 1425824 6361.07503   51  130 6355.98801 7066.50960  11.2%   4.9  385s
 2980696 1443639 7062.89305   44  159 6355.98801 7064.77853  11.2%   4.9  390s
 3018869 1460901 7028.91722   44  147 6355.98801 7063.21837  11.1%   4.9  395s
 3060167 1479564 6945.19184   45  147 6355.98801 7061.45002  11.1%   4.9  400s
 3100282 1496466 6445.09253   48  146 6355.98801 7059.81731  11.1%   4.9  405s
 3141215 1515014     cutoff   54      6355.98801 7058.19395  11.0%   4.9  410s
 3177792 1531178 6779.06955   50  146 6355.98801 7056.69739  11.0%   4.9  415s
 3217872 1548624 6725.60056   49  142 6355.98801 7055.08310  11.0%   4.9  420s
 3259207 1566007 6809.85525   51  127 6355.98801 7053.38285  11.0%   4.9  425s
 3300029 1583906 6493.76477   53  150 6355.98801 7051.78627  10.9%   4.9  430s
 3340596 1600904 6740.83994   46  145 6355.98801 7050.28897  10.9%   4.9  435s
 3375851 1616337 6387.78844   49  135 6355.98801 7048.99144  10.9%   4.9  440s
 3417191 1633611 6541.46982   52  152 6355.98801 7047.42469  10.9%   4.9  445s
 3458107 1650983 6463.77581   52  135 6355.98801 7045.89396  10.9%   4.9  450s
 3498965 1668051 6679.55561   49  145 6355.98801 7044.42521  10.8%   4.9  455s
 3537289 1684311 6769.21227   55  140 6355.98801 7043.09091  10.8%   4.9  460s
 3574711 1699727 6729.31450   45  156 6355.98801 7041.76822  10.8%   4.9  465s
 3613703 1718175 6407.17861   50  155 6355.98801 7040.34133  10.8%   4.9  470s
 3653716 1734564 6356.54417   50  160 6355.98801 7039.08593  10.7%   4.9  475s
 3695049 1752033 7031.06524   47  135 6355.98801 7037.63167  10.7%   4.9  480s
 3735435 1769123 6369.23203   59  108 6355.98801 7036.18138  10.7%   4.9  485s
 3775851 1786258 6457.09403   50  136 6355.98801 7034.76700  10.7%   4.9  490s
 3811787 1800583 6366.66018   48  157 6355.98801 7033.63831  10.7%   4.9  495s
 3853132 1817887 6401.97307   51  156 6355.98801 7032.22440  10.6%   4.9  500s
 3894739 1834541     cutoff   57      6355.98801 7030.93139  10.6%   4.9  505s
 3933252 1850031 6822.95288   41  160 6355.98801 7029.75548  10.6%   4.9  510s
 3976877 1867385 6544.59857   51  150 6355.98801 7028.41852  10.6%   4.9  515s
 4017250 1884973 6941.25873   49  143 6355.98801 7027.13258  10.6%   4.9  520s
 4052685 1900057 6810.57335   55  120 6355.98801 7026.06265  10.5%   4.9  525s
 4090905 1916882 6752.59144   52  143 6355.98801 7024.81321  10.5%   4.9  530s
 4131779 1933478 6537.04202   47  157 6355.98801 7023.64544  10.5%   4.9  535s
 4172208 1949990 6698.50818   51  148 6355.98801 7022.49469  10.5%   4.9  540s
 4213075 1967506 6604.36144   46  153 6355.98801 7021.23303  10.5%   4.9  545s
 4254315 1984706 6547.79809   50  134 6355.98801 7019.97521  10.4%   4.9  550s
 4288066 1998776 6598.89597   49  151 6355.98801 7018.98392  10.4%   4.9  555s
 4329098 2016579 6549.37883   52  133 6355.98801 7017.80418  10.4%   4.9  560s
 4371907 2033845 6630.15083   48  151 6355.98801 7016.48098  10.4%   4.9  565s
 4410735 2049410 6385.91813   54  133 6355.98801 7015.38552  10.4%   4.9  570s
 4451355 2066402 6610.55938   49  150 6355.98801 7014.28432  10.4%   4.9  575s
 4492658 2083321     cutoff   55      6355.98801 7013.13486  10.3%   4.9  580s
 4527983 2098070     cutoff   62      6355.98801 7012.17998  10.3%   4.9  585s
 4569135 2114265 6939.63064   46  151 6355.98801 7011.04724  10.3%   4.9  590s
 4602874 2127358 6391.99844   51  143 6355.98801 7010.14760  10.3%   4.9  595s
 4643455 2144150     cutoff   50      6355.98801 7009.00712  10.3%   4.9  600s
 4683616 2160090 6657.02679   46  142 6355.98801 7007.92243  10.3%   4.9  605s
 4723406 2176189 6492.86311   55  136 6355.98801 7006.87478  10.2%   4.9  610s
 4759431 2190755 6702.38630   45  160 6355.98801 7005.87075  10.2%   4.9  615s
 4800328 2206730 6637.14794   46  160 6355.98801 7004.85082  10.2%   4.9  620s
 4841033 2223389 6685.33559   49  147 6355.98801 7003.76072  10.2%   4.9  625s
 4880463 2239294 6375.91698   58  118 6355.98801 7002.78324  10.2%   4.9  630s
 4924000 2256572 6429.28720   54  133 6355.98801 7001.67470  10.2%   4.9  635s
 4959743 2270502 6394.58211   55  113 6355.98801 7000.76628  10.1%   4.9  640s
